id_pedido,id_cliente,id_producto,id_transportista,region_destino,monto_venta,costo_envio,costo_producto,fecha_pedido,fecha_promesa,fecha_entrega,estado_envio
PED-10074,CLI-1073,PROD-124,TR-102,Este,1005,24.95,181,2025-09-13,2025-09-17,2025-09-16,Entregado
PED-10075,CLI-1035,PROD-120,TR-101,Centro,1678,23.86,541,2025-10-04,2025-10-07,2025-10-07,Entregado
PED-10076,CLI-1033,PROD-102,TR-103,Oeste,843,29.34,563,2024-11-30,2024-12-05,2024-12-04,Entregado
PED-10077,CLI-1093,PROD-116,TR-103,Norte,928,31.57,861,2026-04-30,2026-05-05,2026-05-05,Entregado
PED-10078,CLI-1029,PROD-114,TR-101,Oeste,903,26.37,543,2024-05-24,2024-05-27,2024-05-26,Entregado
PED-10079,CLI-1101,PROD-127,TR-103,Norte,108,11.78,93,2024-04-02,2024-04-07,2024-04-06,Entregado
PED-10080,CLI-1094,PROD-121,TR-103,Oeste,128,26.38,36,2025-08-21,2025-08-26,2025-08-27,Entregado
PED-10081,CLI-1143,PROD-110,TR-102,Centro,615,25.7,248,2025-10-25,2025-10-29,2025-11-03,Entregado
PED-10082,CLI-1011,PROD-101,TR-103,Oeste,201,18.8,19,2025-05-19,2025-05-24,2025-05-27,Entregado
PED-10083,CLI-1138,PROD-113,TR-102,Sur,422,19.32,306,2026-06-25,2026-06-29,2026-06-28,Entregado
PED-10084,CLI-1071,PROD-101,TR-103,Este,134,34.49,19,2024-08-10,2024-08-15,2024-08-14,Entregado
PED-10085,CLI-1094,PROD-117,TR-103,Oeste,459,10.93,544,2024-03-03,2024-03-08,2024-03-07,Entregado
PED-10086,CLI-1054,PROD-120,TR-101,Norte,839,13.94,1623,2024-02-21,2024-02-24,2024-02-24,Entregado
PED-10087,CLI-1141,PROD-106,TR-102,Norte,867,8.58,1677,2026-04-12,2026-04-16,2026-04-16,Entregado
PED-10088,CLI-1037,PROD-104,TR-103,Sur,97,8.89,26,2026-03-28,2026-04-02,2026-04-03,Entregado
PED-10089,CLI-1060,PROD-118,TR-103,Centro,88,19.66,135,2024-01-17,2024-01-22,2024-01-21,Entregado
PED-10090,CLI-1029,PROD-123,TR-101,Oeste,1377,11.39,834,2025-05-02,2025-05-05,2025-05-05,Entregado
PED-10091,CLI-1128,PROD-107,TR-101,Este,1410,20.64,552,2026-01-14,2026-01-17,,Cancelado
PED-10092,CLI-1015,PROD-115,TR-104,Centro,729,10.45,216,2025-03-12,2025-03-16,2025-03-16,Entregado
PED-10093,CLI-1020,PROD-110,TR-102,Norte,615,23.03,372,2024-03-08,2024-03-12,2024-03-13,Entregado
PED-10094,CLI-1135,PROD-109,TR-104,Sur,2589,31.1,558,2025-06-01,2025-06-05,2025-06-04,Entregado
PED-10095,CLI-1141,PROD-123,TR-102,Norte,918,30.43,556,2025-03-16,2025-03-20,2025-03-19,Entregado
PED-10096,CLI-1102,PROD-113,TR-101,Norte,422,26.7,102,2024-11-16,2024-11-19,2024-11-20,Entregado
PED-10097,CLI-1023,PROD-126,TR-101,Centro,2556,30.01,1124,2024-04-05,2024-04-08,2024-04-09,Entregado
PED-10098,CLI-1143,PROD-117,TR-103,Centro,1377,31.5,544,2025-11-17,2025-11-22,2025-11-22,Entregado
PED-10099,CLI-1013,PROD-109,TR-103,Centro,863,21.28,1674,2024-12-26,2024-12-31,2025-01-03,Entregado
PED-10100,CLI-1089,PROD-127,TR-103,Este,54,30.9,62,2024-04-27,2024-05-02,,Cancelado
PED-10101,CLI-1142,PROD-100,TR-103,Norte,114,17.8,24,2024-01-30,2024-02-04,2024-02-05,Entregado
PED-10102,CLI-1036,PROD-118,TR-104,Este,88,28.27,45,2024-03-12,2024-03-16,2024-03-17,Entregado
PED-10103,CLI-1107,PROD-114,TR-103,Sur,602,24.3,543,2024-06-10,2024-06-15,,Cancelado
PED-10104,CLI-1039,PROD-105,TR-101,Centro,1320,21.37,552,2025-11-21,2025-11-24,2025-11-29,Entregado
PED-10105,CLI-1069,PROD-106,TR-101,Este,2601,24.22,1677,2024-12-19,2024-12-22,2024-12-22,Entregado
PED-10106,CLI-1134,PROD-121,TR-103,Sur,64,13.92,36,2024-02-16,2024-02-21,,Cancelado
PED-10107,CLI-1035,PROD-124,TR-103,Centro,670,19.91,543,2024-10-23,2024-10-28,2024-10-27,Entregado
PED-10108,CLI-1033,PROD-112,TR-102,Oeste,428,19.02,106,2025-05-27,2025-05-31,2025-06-01,Entregado
PED-10109,CLI-1111,PROD-100,TR-104,Este,114,19.22,36,2024-03-20,2024-03-24,2024-03-25,Entregado
PED-10110,CLI-1074,PROD-103,TR-104,Sur,1407,30.55,544,2024-01-22,2024-01-26,2024-01-25,Entregado
PED-10111,CLI-1092,PROD-102,TR-104,Oeste,2529,22.39,1126,2026-05-14,2026-05-18,2026-05-23,Entregado
PED-10112,CLI-1079,PROD-123,TR-103,Centro,459,25.28,834,2024-08-14,2024-08-19,2024-08-18,Entregado
PED-10113,CLI-1135,PROD-116,TR-102,Sur,1392,14.76,287,2026-03-05,2026-03-09,2026-03-10,Entregado
PED-10114,CLI-1050,PROD-105,TR-102,Este,440,21.59,828,2026-02-17,2026-02-21,2026-02-20,Entregado
PED-10115,CLI-1144,PROD-124,TR-104,Norte,1005,34.64,543,2025-11-28,2025-12-02,2025-12-03,Entregado
PED-10116,CLI-1080,PROD-104,TR-104,Norte,194,24.17,52,2024-03-10,2024-03-14,2024-03-15,Entregado
PED-10117,CLI-1018,PROD-109,TR-104,Este,1726,25.58,558,2025-04-07,2025-04-11,,Cancelado
PED-10118,CLI-1023,PROD-119,TR-104,Centro,93,32.59,86,2025-04-18,2025-04-22,2025-04-23,Entregado
PED-10119,CLI-1048,PROD-110,TR-104,Norte,410,29.99,124,2025-05-28,2025-06-01,2025-05-31,Entregado
PED-10120,CLI-1087,PROD-122,TR-101,Sur,210,20.1,321,2025-05-31,2025-06-03,2025-06-02,Entregado
PED-10121,CLI-1112,PROD-116,TR-102,Este,928,29.02,574,2025-01-07,2025-01-11,2025-01-11,Entregado
PED-10122,CLI-1013,PROD-125,TR-103,Centro,2574,16.03,1102,2024-03-08,2024-03-13,2024-03-14,Entregado
PED-10123,CLI-1038,PROD-110,TR-101,Este,410,27.01,372,2025-08-19,2025-08-22,2025-08-22,Entregado
PED-10124,CLI-1100,PROD-104,TR-101,Oeste,194,26.26,26,2024-11-13,2024-11-16,2024-11-17,Entregado
PED-10125,CLI-1134,PROD-102,TR-104,Sur,1686,33.71,563,2025-06-04,2025-06-08,2025-06-08,Entregado
PED-10126,CLI-1087,PROD-124,TR-104,Sur,335,16.34,181,2024-07-15,2024-07-19,2024-07-18,Entregado
PED-10127,CLI-1025,PROD-116,TR-101,Oeste,464,18.48,861,2025-11-08,2025-11-11,2025-11-12,Entregado
PED-10128,CLI-1042,PROD-123,TR-104,Este,1377,34.19,278,2024-02-14,2024-02-18,2024-02-19,Entregado
PED-10129,CLI-1114,PROD-107,TR-102,Centro,470,26.48,552,2024-11-12,2024-11-16,2024-11-16,Entregado
PED-10130,CLI-1146,PROD-114,TR-104,Norte,903,19.59,543,2026-02-26,2026-03-02,2026-03-02,Entregado
PED-10131,CLI-1041,PROD-126,TR-102,Sur,852,21.24,1686,2026-03-31,2026-04-04,2026-04-04,Entregado
PED-10132,CLI-1095,PROD-117,TR-101,Sur,918,28.72,272,2025-12-29,2026-01-01,2025-12-31,Entregado
PED-10133,CLI-1069,PROD-114,TR-102,Este,602,33.16,362,2026-04-30,2026-05-04,2026-05-03,Entregado
PED-10134,CLI-1106,PROD-101,TR-104,Sur,67,14.45,38,2025-05-29,2025-06-02,2025-06-02,Entregado
PED-10135,CLI-1081,PROD-129,TR-101,Oeste,65,9.52,17,2026-05-09,2026-05-12,2026-05-12,Entregado
PED-10136,CLI-1120,PROD-122,TR-102,Sur,630,32.51,107,2026-02-16,2026-02-20,2026-02-20,Entregado
PED-10137,CLI-1004,PROD-108,TR-102,Sur,252,19.72,75,2026-05-05,2026-05-09,2026-05-10,Entregado
PED-10138,CLI-1060,PROD-109,TR-101,Centro,2589,10.16,1116,2024-02-18,2024-02-21,2024-02-22,Entregado
PED-10139,CLI-1127,PROD-119,TR-101,Este,279,16.22,43,2025-10-09,2025-10-12,2025-10-11,Entregado
PED-10140,CLI-1000,PROD-119,TR-103,Este,279,10.77,129,2024-09-03,2024-09-08,2024-09-07,Entregado
PED-10141,CLI-1092,PROD-102,TR-101,Oeste,2529,34.5,1126,2025-02-03,2025-02-06,2025-02-05,Entregado
PED-10142,CLI-1064,PROD-123,TR-101,Oeste,459,25.91,834,2024-12-31,2025-01-03,2025-01-03,Entregado
PED-10143,CLI-1026,PROD-124,TR-103,Sur,1005,30.51,181,2024-05-16,2024-05-21,2024-05-25,Entregado
PED-10144,CLI-1122,PROD-120,TR-102,Centro,1678,16.28,541,2026-04-10,2026-04-14,2026-04-15,Entregado
PED-10145,CLI-1051,PROD-128,TR-101,Centro,120,21.05,87,2024-11-19,2024-11-22,2024-11-23,Entregado
PED-10146,CLI-1048,PROD-109,TR-103,Norte,1726,11.8,1116,2026-06-01,2026-06-06,2026-06-07,Entregado
PED-10147,CLI-1102,PROD-123,TR-104,Norte,918,21.68,834,2025-01-30,2025-02-03,2025-02-02,Entregado
PED-10148,CLI-1132,PROD-108,TR-101,Sur,252,22.96,25,2026-01-14,2026-01-17,2026-01-17,Entregado
PED-10149,CLI-1082,PROD-103,TR-101,Centro,938,27.52,816,2024-12-01,2024-12-04,2024-12-04,Entregado
PED-10150,CLI-1042,PROD-122,TR-104,Este,420,34.95,321,2024-12-25,2024-12-29,2024-12-30,Entregado
PED-10151,CLI-1014,PROD-102,TR-104,Norte,2529,33.75,563,2025-01-07,2025-01-11,2025-01-12,Entregado
PED-10152,CLI-1112,PROD-101,TR-102,Este,134,18.65,38,2024-03-09,2024-03-13,2024-03-14,Entregado
PED-10153,CLI-1039,PROD-121,TR-104,Centro,192,22.53,36,2025-01-14,2025-01-18,2025-01-17,Entregado
PED-10154,CLI-1101,PROD-110,TR-103,Norte,615,21.72,124,2024-09-12,2024-09-17,2024-09-16,Entregado
PED-10155,CLI-1099,PROD-129,TR-101,Oeste,130,34.9,17,2024-09-25,2024-09-28,2024-09-29,Entregado
PED-10156,CLI-1125,PROD-106,TR-101,Centro,867,20.3,1677,2024-05-18,2024-05-21,2024-05-21,Entregado
PED-10157,CLI-1022,PROD-125,TR-103,Norte,2574,16.19,1653,2025-11-14,2025-11-19,2025-11-18,Entregado
PED-10158,CLI-1076,PROD-127,TR-102,Norte,162,29.53,31,2025-12-29,2026-01-02,2026-01-03,Entregado
PED-10159,CLI-1031,PROD-106,TR-102,Norte,1734,23.67,1677,2024-08-30,2024-09-03,2024-09-02,Entregado
PED-10160,CLI-1119,PROD-125,TR-102,Centro,1716,34.99,1102,2025-09-18,2025-09-22,2025-09-21,Entregado
PED-10161,CLI-1122,PROD-116,TR-104,Centro,464,34.27,287,2026-02-26,2026-03-02,2026-03-03,Entregado
PED-10162,CLI-1115,PROD-114,TR-103,Sur,903,13.32,543,2024-05-11,2024-05-16,,Cancelado
PED-10163,CLI-1110,PROD-116,TR-101,Sur,928,12.79,287,2026-05-01,2026-05-04,2026-05-03,Entregado
PED-10164,CLI-1057,PROD-111,TR-103,Norte,2586,15.77,1650,2026-05-16,2026-05-21,2026-05-24,Entregado
PED-10165,CLI-1136,PROD-102,TR-102,Sur,843,25.05,1689,2025-08-29,2025-09-02,2025-09-01,Entregado
PED-10166,CLI-1086,PROD-126,TR-101,Oeste,852,28.93,1686,2026-04-25,2026-04-28,2026-04-27,Entregado
PED-10167,CLI-1067,PROD-120,TR-102,Este,2517,21.7,541,2026-02-24,2026-02-28,2026-03-01,Entregado
PED-10168,CLI-1074,PROD-120,TR-103,Sur,1678,20.52,1082,2025-05-09,2025-05-14,2025-05-15,Entregado
PED-10169,CLI-1040,PROD-114,TR-104,Este,903,16.78,181,2025-05-10,2025-05-14,2025-05-14,Entregado
PED-10170,CLI-1081,PROD-123,TR-103,Oeste,1377,11.31,834,2025-02-12,2025-02-17,2025-02-17,Entregado
PED-10171,CLI-1061,PROD-114,TR-101,Este,301,16.19,181,2024-09-30,2024-10-03,2024-10-02,Entregado
PED-10172,CLI-1098,PROD-127,TR-104,Sur,108,27.61,93,2024-09-11,2024-09-15,2024-09-14,Entregado
PED-10173,CLI-1048,PROD-124,TR-102,Norte,670,21.68,362,2025-05-25,2025-05-29,2025-05-29,Entregado
PED-10174,CLI-1023,PROD-112,TR-104,Centro,214,15.96,106,2024-09-03,2024-09-07,2024-09-07,Entregado
PED-10175,CLI-1120,PROD-109,TR-101,Sur,1726,18.19,1674,2026-05-17,2026-05-20,2026-05-23,Entregado
PED-10176,CLI-1011,PROD-112,TR-101,Oeste,642,10.45,212,2025-08-06,2025-08-09,2025-08-09,Entregado
PED-10177,CLI-1129,PROD-114,TR-103,Centro,903,11.91,181,2026-04-25,2026-04-30,2026-05-01,Entregado
PED-10178,CLI-1095,PROD-125,TR-103,Sur,858,21.99,1653,2025-07-25,2025-07-30,2025-07-29,Entregado
PED-10179,CLI-1128,PROD-101,TR-101,Este,134,20.61,57,2024-02-09,2024-02-12,2024-02-12,Entregado
PED-10180,CLI-1131,PROD-104,TR-103,Sur,291,30.83,78,2025-09-19,2025-09-24,2025-09-24,Entregado
PED-10181,CLI-1086,PROD-116,TR-104,Oeste,464,17.28,574,2025-12-26,2025-12-30,2025-12-30,Entregado
PED-10182,CLI-1028,PROD-113,TR-103,Sur,633,24.32,102,2026-03-26,2026-03-31,2026-04-01,Entregado
PED-10183,CLI-1148,PROD-118,TR-102,Este,88,25.17,135,2026-01-08,2026-01-12,2026-01-17,Entregado
PED-10184,CLI-1097,PROD-104,TR-102,Este,97,9.0,26,2024-02-02,2024-02-06,2024-02-07,Entregado
PED-10185,CLI-1038,PROD-113,TR-102,Este,422,27.78,306,2025-02-24,2025-02-28,2025-03-01,Entregado
PED-10186,CLI-1132,PROD-106,TR-103,Sur,1734,20.68,559,2025-11-09,2025-11-14,2025-11-14,Entregado
PED-10187,CLI-1136,PROD-110,TR-103,Sur,615,29.8,372,2025-11-23,2025-11-28,2025-11-29,Entregado
PED-10188,CLI-1123,PROD-106,TR-102,Este,1734,27.18,1118,2024-10-12,2024-10-16,2024-10-15,Entregado
PED-10189,CLI-1125,PROD-110,TR-104,Centro,410,11.73,248,2024-12-23,2024-12-27,2024-12-28,Entregado
PED-10190,CLI-1097,PROD-128,TR-104,Este,120,16.12,29,2026-04-18,2026-04-22,2026-04-21,Entregado
PED-10191,CLI-1020,PROD-111,TR-104,Norte,862,30.44,550,2025-11-02,2025-11-06,2025-11-06,Entregado
PED-10192,CLI-1069,PROD-129,TR-103,Este,65,26.25,17,2024-05-20,2024-05-25,2024-05-28,Entregado
PED-10193,CLI-1059,PROD-101,TR-101,Sur,67,28.93,57,2025-02-27,2025-03-02,2025-03-02,Entregado
PED-10194,CLI-1001,PROD-117,TR-102,Oeste,918,13.79,816,2025-02-20,2025-02-24,2025-02-24,Entregado
PED-10195,CLI-1073,PROD-110,TR-103,Este,615,14.65,372,2025-10-23,2025-10-28,2025-10-30,Entregado
PED-10196,CLI-1009,PROD-129,TR-102,Centro,65,29.38,34,2025-03-03,2025-03-07,2025-03-06,Entregado
PED-10197,CLI-1047,PROD-129,TR-103,Norte,195,11.34,51,2026-06-16,2026-06-21,,Cancelado
PED-10198,CLI-1072,PROD-114,TR-104,Oeste,602,13.61,362,2026-06-29,2026-07-03,2026-07-04,Entregado
PED-10199,CLI-1041,PROD-123,TR-104,Sur,459,17.43,834,2025-10-25,2025-10-29,2025-10-28,Entregado
PED-10200,CLI-1075,PROD-118,TR-102,Oeste,176,22.15,90,2024-06-28,2024-07-02,2024-07-03,Entregado
PED-10201,CLI-1024,PROD-105,TR-102,Sur,440,18.66,552,2025-05-03,2025-05-07,2025-05-06,Entregado
PED-10202,CLI-1114,PROD-124,TR-103,Centro,1005,15.43,181,2024-12-03,2024-12-08,2024-12-09,Entregado
PED-10203,CLI-1060,PROD-101,TR-101,Centro,201,32.96,57,2025-04-21,2025-04-24,2025-04-24,Entregado
PED-10204,CLI-1079,PROD-122,TR-101,Centro,420,14.35,321,2025-10-16,2025-10-19,2025-10-19,Entregado
PED-10205,CLI-1034,PROD-115,TR-102,Este,486,27.1,216,2025-04-10,2025-04-14,,Cancelado
PED-10206,CLI-1137,PROD-125,TR-102,Oeste,858,20.34,1653,2026-02-19,2026-02-23,2026-02-24,Entregado
PED-10207,CLI-1019,PROD-129,TR-101,Oeste,65,22.72,51,2024-03-04,2024-03-07,2024-03-08,Entregado
PED-10208,CLI-1133,PROD-114,TR-101,Este,602,32.32,181,2025-11-27,2025-11-30,2025-12-01,Entregado
PED-10209,CLI-1014,PROD-114,TR-102,Norte,301,20.75,543,2025-06-09,2025-06-13,2025-06-14,Entregado
PED-10210,CLI-1005,PROD-112,TR-103,Oeste,642,9.7,106,2026-04-16,2026-04-21,2026-04-24,Entregado
PED-10211,CLI-1016,PROD-117,TR-101,Este,459,19.33,544,2024-03-11,2024-03-14,2024-03-14,Entregado
PED-10212,CLI-1034,PROD-124,TR-104,Este,670,18.45,362,2025-01-18,2025-01-22,2025-01-22,Entregado
PED-10213,CLI-1138,PROD-104,TR-103,Sur,194,11.87,78,2024-05-01,2024-05-06,,Cancelado
PED-10214,CLI-1000,PROD-124,TR-101,Este,1005,22.6,362,2024-11-01,2024-11-04,2024-11-05,Entregado
PED-10215,CLI-1063,PROD-114,TR-103,Centro,301,29.95,181,2024-06-07,2024-06-12,2024-06-13,Entregado
PED-10216,CLI-1004,PROD-107,TR-102,Sur,940,26.31,828,2024-03-09,2024-03-13,,Cancelado
PED-10217,CLI-1062,PROD-123,TR-101,Centro,459,12.21,278,2025-02-15,2025-02-18,,Cancelado
PED-10218,CLI-1059,PROD-126,TR-103,Sur,1704,16.5,562,2025-08-14,2025-08-19,2025-08-20,Entregado
PED-10219,CLI-1133,PROD-107,TR-104,Este,1410,32.66,828,2024-11-03,2024-11-07,2024-11-08,Entregado
PED-10220,CLI-1109,PROD-117,TR-104,Norte,1377,29.32,544,2024-02-18,2024-02-22,2024-02-23,Entregado
PED-10221,CLI-1106,PROD-113,TR-102,Sur,422,31.01,102,2024-11-03,2024-11-07,2024-11-08,Entregado
PED-10222,CLI-1036,PROD-125,TR-104,Este,2574,12.05,1653,2024-02-29,2024-03-04,2024-03-04,Entregado
PED-10223,CLI-1062,PROD-108,TR-102,Centro,168,22.69,25,2024-12-04,2024-12-08,2024-12-08,Entregado
