id_pedido,id_cliente,id_producto,id_transportista,region_destino,monto_venta,costo_envio,costo_producto,fecha_pedido,fecha_promesa,fecha_entrega,estado_envio,dias_transcurridos_reales,dias_prometidos,indicador_cumplimiento,margen_operativo_pedido
PED-10050,CLI-1071,PROD-105,TR-104,Este,880,19.32,552,2025-10-12,2025-10-16,2025-10-15,Entregado,3.0,4,A Tiempo,308.67999999999995
PED-10051,CLI-1082,PROD-121,TR-101,Centro,192,16.14,72,2026-05-28,2026-05-31,2026-05-31,Entregado,3.0,3,A Tiempo,103.86000000000001
PED-10052,CLI-1102,PROD-126,TR-101,Norte,1704,34.21,562,2025-04-10,2025-04-13,2025-04-18,Entregado,8.0,3,Atrasado,1107.79
PED-10053,CLI-1131,PROD-126,TR-101,Sur,1704,13.47,562,2025-11-04,2025-11-07,2025-11-07,Entregado,3.0,3,A Tiempo,1128.53
PED-10054,CLI-1092,PROD-119,TR-104,Oeste,93,23.05,86,2025-10-02,2025-10-06,2025-10-05,Entregado,3.0,4,A Tiempo,-16.049999999999997
PED-10055,CLI-1073,PROD-114,TR-104,Este,903,16.73,181,2024-05-04,2024-05-08,2024-05-11,Entregado,7.0,4,Atrasado,705.27
PED-10056,CLI-1104,PROD-102,TR-102,Sur,843,30.55,1689,2026-05-11,2026-05-15,2026-05-15,Entregado,4.0,4,A Tiempo,-876.55
PED-10057,CLI-1127,PROD-129,TR-103,Este,130,14.96,34,2025-06-05,2025-06-10,2025-06-10,Entregado,5.0,5,A Tiempo,81.03999999999999
PED-10058,CLI-1141,PROD-104,TR-104,Norte,291,31.4,26,2024-07-14,2024-07-18,2024-07-19,Entregado,5.0,4,Atrasado,233.60000000000002
PED-10059,CLI-1106,PROD-110,TR-103,Sur,615,34.97,372,2026-04-20,2026-04-25,2026-04-29,Entregado,9.0,5,Atrasado,208.02999999999997
PED-10060,CLI-1038,PROD-114,TR-104,Este,602,33.22,362,2024-12-19,2024-12-23,,Cancelado,,4,En Tránsito / Pendiente,206.77999999999997
PED-10061,CLI-1061,PROD-118,TR-104,Este,88,28.23,90,2024-08-27,2024-08-31,2024-08-31,Entregado,4.0,4,A Tiempo,-30.230000000000004
PED-10062,CLI-1097,PROD-112,TR-102,Este,642,17.3,318,2025-05-22,2025-05-26,2025-05-25,Entregado,3.0,4,A Tiempo,306.70000000000005
PED-10063,CLI-1025,PROD-127,TR-104,Oeste,54,12.32,93,2024-04-12,2024-04-16,2024-04-16,Entregado,4.0,4,A Tiempo,-51.32
PED-10064,CLI-1039,PROD-102,TR-104,Centro,2529,19.03,1689,2026-03-11,2026-03-15,2026-03-15,Entregado,4.0,4,A Tiempo,820.9699999999998
PED-10065,CLI-1020,PROD-127,TR-103,Norte,108,25.11,62,2026-05-22,2026-05-27,,Cancelado,,5,En Tránsito / Pendiente,20.89
PED-10066,CLI-1124,PROD-127,TR-101,Sur,54,10.9,93,2025-09-24,2025-09-27,,Cancelado,,3,En Tránsito / Pendiente,-49.9
PED-10067,CLI-1025,PROD-114,TR-102,Oeste,301,29.6,362,2025-12-11,2025-12-15,2025-12-14,Entregado,3.0,4,A Tiempo,-90.60000000000002
PED-10068,CLI-1075,PROD-111,TR-103,Oeste,1724,26.57,1650,2025-03-17,2025-03-22,2025-03-23,Entregado,6.0,5,Atrasado,47.430000000000064
PED-10069,CLI-1044,PROD-102,TR-104,Norte,2529,14.65,563,2025-09-26,2025-09-30,2025-09-30,Entregado,4.0,4,A Tiempo,1951.35
PED-10070,CLI-1065,PROD-114,TR-103,Oeste,602,22.98,543,2025-11-13,2025-11-18,2025-11-23,Entregado,10.0,5,Atrasado,36.01999999999998
PED-10071,CLI-1088,PROD-118,TR-103,Sur,176,30.9,90,2025-10-16,2025-10-21,2025-10-22,Entregado,6.0,5,Atrasado,55.099999999999994
PED-10072,CLI-1098,PROD-127,TR-104,Sur,108,16.34,93,2024-04-19,2024-04-23,2024-04-24,Entregado,5.0,4,Atrasado,-1.3400000000000034
PED-10073,CLI-1005,PROD-126,TR-104,Oeste,2556,21.66,1686,2024-10-08,2024-10-12,,Cancelado,,4,En Tránsito / Pendiente,848.3400000000001
PED-10074,CLI-1073,PROD-124,TR-102,Este,1005,24.95,181,2025-09-13,2025-09-17,2025-09-16,Entregado,3.0,4,A Tiempo,799.05
PED-10075,CLI-1035,PROD-120,TR-101,Centro,1678,23.86,541,2025-10-04,2025-10-07,2025-10-07,Entregado,3.0,3,A Tiempo,1113.14
PED-10076,CLI-1033,PROD-102,TR-103,Oeste,843,29.34,563,2024-11-30,2024-12-05,2024-12-04,Entregado,4.0,5,A Tiempo,250.65999999999997
PED-10077,CLI-1093,PROD-116,TR-103,Norte,928,31.57,861,2026-04-30,2026-05-05,2026-05-05,Entregado,5.0,5,A Tiempo,35.42999999999995
PED-10078,CLI-1029,PROD-114,TR-101,Oeste,903,26.37,543,2024-05-24,2024-05-27,2024-05-26,Entregado,2.0,3,A Tiempo,333.63
PED-10079,CLI-1101,PROD-127,TR-103,Norte,108,11.78,93,2024-04-02,2024-04-07,2024-04-06,Entregado,4.0,5,A Tiempo,3.219999999999999
PED-10080,CLI-1094,PROD-121,TR-103,Oeste,128,26.38,36,2025-08-21,2025-08-26,2025-08-27,Entregado,6.0,5,Atrasado,65.62
PED-10081,CLI-1143,PROD-110,TR-102,Centro,615,25.7,248,2025-10-25,2025-10-29,2025-11-03,Entregado,9.0,4,Atrasado,341.29999999999995
PED-10082,CLI-1011,PROD-101,TR-103,Oeste,201,18.8,19,2025-05-19,2025-05-24,2025-05-27,Entregado,8.0,5,Atrasado,163.2
PED-10083,CLI-1138,PROD-113,TR-102,Sur,422,19.32,306,2026-06-25,2026-06-29,2026-06-28,Entregado,3.0,4,A Tiempo,96.68
PED-10084,CLI-1071,PROD-101,TR-103,Este,134,34.49,19,2024-08-10,2024-08-15,2024-08-14,Entregado,4.0,5,A Tiempo,80.50999999999999
PED-10085,CLI-1094,PROD-117,TR-103,Oeste,459,10.93,544,2024-03-03,2024-03-08,2024-03-07,Entregado,4.0,5,A Tiempo,-95.93
PED-10086,CLI-1054,PROD-120,TR-101,Norte,839,13.94,1623,2024-02-21,2024-02-24,2024-02-24,Entregado,3.0,3,A Tiempo,-797.94
PED-10087,CLI-1141,PROD-106,TR-102,Norte,867,8.58,1677,2026-04-12,2026-04-16,2026-04-16,Entregado,4.0,4,A Tiempo,-818.58
PED-10088,CLI-1037,PROD-104,TR-103,Sur,97,8.89,26,2026-03-28,2026-04-02,2026-04-03,Entregado,6.0,5,Atrasado,62.11
PED-10089,CLI-1060,PROD-118,TR-103,Centro,88,19.66,135,2024-01-17,2024-01-22,2024-01-21,Entregado,4.0,5,A Tiempo,-66.66
PED-10090,CLI-1029,PROD-123,TR-101,Oeste,1377,11.39,834,2025-05-02,2025-05-05,2025-05-05,Entregado,3.0,3,A Tiempo,531.6099999999999
PED-10091,CLI-1128,PROD-107,TR-101,Este,1410,20.64,552,2026-01-14,2026-01-17,,Cancelado,,3,En Tránsito / Pendiente,837.3599999999999
PED-10092,CLI-1015,PROD-115,TR-104,Centro,729,10.45,216,2025-03-12,2025-03-16,2025-03-16,Entregado,4.0,4,A Tiempo,502.54999999999995
PED-10093,CLI-1020,PROD-110,TR-102,Norte,615,23.03,372,2024-03-08,2024-03-12,2024-03-13,Entregado,5.0,4,Atrasado,219.97000000000003
PED-10094,CLI-1135,PROD-109,TR-104,Sur,2589,31.1,558,2025-06-01,2025-06-05,2025-06-04,Entregado,3.0,4,A Tiempo,1999.9
PED-10095,CLI-1141,PROD-123,TR-102,Norte,918,30.43,556,2025-03-16,2025-03-20,2025-03-19,Entregado,3.0,4,A Tiempo,331.57000000000005
PED-10096,CLI-1102,PROD-113,TR-101,Norte,422,26.7,102,2024-11-16,2024-11-19,2024-11-20,Entregado,4.0,3,Atrasado,293.3
PED-10097,CLI-1023,PROD-126,TR-101,Centro,2556,30.01,1124,2024-04-05,2024-04-08,2024-04-09,Entregado,4.0,3,Atrasado,1401.9899999999998
PED-10098,CLI-1143,PROD-117,TR-103,Centro,1377,31.5,544,2025-11-17,2025-11-22,2025-11-22,Entregado,5.0,5,A Tiempo,801.5
PED-10099,CLI-1013,PROD-109,TR-103,Centro,863,21.28,1674,2024-12-26,2024-12-31,2025-01-03,Entregado,8.0,5,Atrasado,-832.28
PED-10100,CLI-1089,PROD-127,TR-103,Este,54,30.9,62,2024-04-27,2024-05-02,,Cancelado,,5,En Tránsito / Pendiente,-38.9
PED-10101,CLI-1142,PROD-100,TR-103,Norte,114,17.8,24,2024-01-30,2024-02-04,2024-02-05,Entregado,6.0,5,Atrasado,72.2
PED-10102,CLI-1036,PROD-118,TR-104,Este,88,28.27,45,2024-03-12,2024-03-16,2024-03-17,Entregado,5.0,4,Atrasado,14.730000000000004
PED-10103,CLI-1107,PROD-114,TR-103,Sur,602,24.3,543,2024-06-10,2024-06-15,,Cancelado,,5,En Tránsito / Pendiente,34.700000000000045
PED-10104,CLI-1039,PROD-105,TR-101,Centro,1320,21.37,552,2025-11-21,2025-11-24,2025-11-29,Entregado,8.0,3,Atrasado,746.6300000000001
PED-10105,CLI-1069,PROD-106,TR-101,Este,2601,24.22,1677,2024-12-19,2024-12-22,2024-12-22,Entregado,3.0,3,A Tiempo,899.7800000000002
PED-10106,CLI-1134,PROD-121,TR-103,Sur,64,13.92,36,2024-02-16,2024-02-21,,Cancelado,,5,En Tránsito / Pendiente,14.079999999999998
PED-10107,CLI-1035,PROD-124,TR-103,Centro,670,19.91,543,2024-10-23,2024-10-28,2024-10-27,Entregado,4.0,5,A Tiempo,107.09000000000003
PED-10108,CLI-1033,PROD-112,TR-102,Oeste,428,19.02,106,2025-05-27,2025-05-31,2025-06-01,Entregado,5.0,4,Atrasado,302.98
PED-10109,CLI-1111,PROD-100,TR-104,Este,114,19.22,36,2024-03-20,2024-03-24,2024-03-25,Entregado,5.0,4,Atrasado,58.78
PED-10110,CLI-1074,PROD-103,TR-104,Sur,1407,30.55,544,2024-01-22,2024-01-26,2024-01-25,Entregado,3.0,4,A Tiempo,832.45
PED-10111,CLI-1092,PROD-102,TR-104,Oeste,2529,22.39,1126,2026-05-14,2026-05-18,2026-05-23,Entregado,9.0,4,Atrasado,1380.6100000000001
PED-10112,CLI-1079,PROD-123,TR-103,Centro,459,25.28,834,2024-08-14,2024-08-19,2024-08-18,Entregado,4.0,5,A Tiempo,-400.28
PED-10113,CLI-1135,PROD-116,TR-102,Sur,1392,14.76,287,2026-03-05,2026-03-09,2026-03-10,Entregado,5.0,4,Atrasado,1090.24
PED-10114,CLI-1050,PROD-105,TR-102,Este,440,21.59,828,2026-02-17,2026-02-21,2026-02-20,Entregado,3.0,4,A Tiempo,-409.59
PED-10115,CLI-1144,PROD-124,TR-104,Norte,1005,34.64,543,2025-11-28,2025-12-02,2025-12-03,Entregado,5.0,4,Atrasado,427.36
PED-10116,CLI-1080,PROD-104,TR-104,Norte,194,24.17,52,2024-03-10,2024-03-14,2024-03-15,Entregado,5.0,4,Atrasado,117.82999999999998
PED-10117,CLI-1018,PROD-109,TR-104,Este,1726,25.58,558,2025-04-07,2025-04-11,,Cancelado,,4,En Tránsito / Pendiente,1142.42
PED-10118,CLI-1023,PROD-119,TR-104,Centro,93,32.59,86,2025-04-18,2025-04-22,2025-04-23,Entregado,5.0,4,Atrasado,-25.590000000000003
PED-10119,CLI-1048,PROD-110,TR-104,Norte,410,29.99,124,2025-05-28,2025-06-01,2025-05-31,Entregado,3.0,4,A Tiempo,256.01
PED-10120,CLI-1087,PROD-122,TR-101,Sur,210,20.1,321,2025-05-31,2025-06-03,2025-06-02,Entregado,2.0,3,A Tiempo,-131.1
PED-10121,CLI-1112,PROD-116,TR-102,Este,928,29.02,574,2025-01-07,2025-01-11,2025-01-11,Entregado,4.0,4,A Tiempo,324.98
PED-10122,CLI-1013,PROD-125,TR-103,Centro,2574,16.03,1102,2024-03-08,2024-03-13,2024-03-14,Entregado,6.0,5,Atrasado,1455.9699999999998
PED-10123,CLI-1038,PROD-110,TR-101,Este,410,27.01,372,2025-08-19,2025-08-22,2025-08-22,Entregado,3.0,3,A Tiempo,10.990000000000009
PED-10124,CLI-1100,PROD-104,TR-101,Oeste,194,26.26,26,2024-11-13,2024-11-16,2024-11-17,Entregado,4.0,3,Atrasado,141.74
PED-10125,CLI-1134,PROD-102,TR-104,Sur,1686,33.71,563,2025-06-04,2025-06-08,2025-06-08,Entregado,4.0,4,A Tiempo,1089.29
PED-10126,CLI-1087,PROD-124,TR-104,Sur,335,16.34,181,2024-07-15,2024-07-19,2024-07-18,Entregado,3.0,4,A Tiempo,137.66000000000003
PED-10127,CLI-1025,PROD-116,TR-101,Oeste,464,18.48,861,2025-11-08,2025-11-11,2025-11-12,Entregado,4.0,3,Atrasado,-415.48
PED-10128,CLI-1042,PROD-123,TR-104,Este,1377,34.19,278,2024-02-14,2024-02-18,2024-02-19,Entregado,5.0,4,Atrasado,1064.81
PED-10129,CLI-1114,PROD-107,TR-102,Centro,470,26.48,552,2024-11-12,2024-11-16,2024-11-16,Entregado,4.0,4,A Tiempo,-108.48000000000002
PED-10130,CLI-1146,PROD-114,TR-104,Norte,903,19.59,543,2026-02-26,2026-03-02,2026-03-02,Entregado,4.0,4,A Tiempo,340.40999999999997
PED-10131,CLI-1041,PROD-126,TR-102,Sur,852,21.24,1686,2026-03-31,2026-04-04,2026-04-04,Entregado,4.0,4,A Tiempo,-855.24
PED-10132,CLI-1095,PROD-117,TR-101,Sur,918,28.72,272,2025-12-29,2026-01-01,2025-12-31,Entregado,2.0,3,A Tiempo,617.28
PED-10133,CLI-1069,PROD-114,TR-102,Este,602,33.16,362,2026-04-30,2026-05-04,2026-05-03,Entregado,3.0,4,A Tiempo,206.84000000000003
PED-10134,CLI-1106,PROD-101,TR-104,Sur,67,14.45,38,2025-05-29,2025-06-02,2025-06-02,Entregado,4.0,4,A Tiempo,14.549999999999997
PED-10135,CLI-1081,PROD-129,TR-101,Oeste,65,9.52,17,2026-05-09,2026-05-12,2026-05-12,Entregado,3.0,3,A Tiempo,38.480000000000004
PED-10136,CLI-1120,PROD-122,TR-102,Sur,630,32.51,107,2026-02-16,2026-02-20,2026-02-20,Entregado,4.0,4,A Tiempo,490.49
PED-10137,CLI-1004,PROD-108,TR-102,Sur,252,19.72,75,2026-05-05,2026-05-09,2026-05-10,Entregado,5.0,4,Atrasado,157.28
PED-10138,CLI-1060,PROD-109,TR-101,Centro,2589,10.16,1116,2024-02-18,2024-02-21,2024-02-22,Entregado,4.0,3,Atrasado,1462.8400000000001
PED-10139,CLI-1127,PROD-119,TR-101,Este,279,16.22,43,2025-10-09,2025-10-12,2025-10-11,Entregado,2.0,3,A Tiempo,219.77999999999997
PED-10140,CLI-1000,PROD-119,TR-103,Este,279,10.77,129,2024-09-03,2024-09-08,2024-09-07,Entregado,4.0,5,A Tiempo,139.23000000000002
PED-10141,CLI-1092,PROD-102,TR-101,Oeste,2529,34.5,1126,2025-02-03,2025-02-06,2025-02-05,Entregado,2.0,3,A Tiempo,1368.5
PED-10142,CLI-1064,PROD-123,TR-101,Oeste,459,25.91,834,2024-12-31,2025-01-03,2025-01-03,Entregado,3.0,3,A Tiempo,-400.91
PED-10143,CLI-1026,PROD-124,TR-103,Sur,1005,30.51,181,2024-05-16,2024-05-21,2024-05-25,Entregado,9.0,5,Atrasado,793.49
PED-10144,CLI-1122,PROD-120,TR-102,Centro,1678,16.28,541,2026-04-10,2026-04-14,2026-04-15,Entregado,5.0,4,Atrasado,1120.72
PED-10145,CLI-1051,PROD-128,TR-101,Centro,120,21.05,87,2024-11-19,2024-11-22,2024-11-23,Entregado,4.0,3,Atrasado,11.950000000000003
PED-10146,CLI-1048,PROD-109,TR-103,Norte,1726,11.8,1116,2026-06-01,2026-06-06,2026-06-07,Entregado,6.0,5,Atrasado,598.2
PED-10147,CLI-1102,PROD-123,TR-104,Norte,918,21.68,834,2025-01-30,2025-02-03,2025-02-02,Entregado,3.0,4,A Tiempo,62.32000000000005
PED-10148,CLI-1132,PROD-108,TR-101,Sur,252,22.96,25,2026-01-14,2026-01-17,2026-01-17,Entregado,3.0,3,A Tiempo,204.04
PED-10149,CLI-1082,PROD-103,TR-101,Centro,938,27.52,816,2024-12-01,2024-12-04,2024-12-04,Entregado,3.0,3,A Tiempo,94.48000000000002
PED-10150,CLI-1042,PROD-122,TR-104,Este,420,34.95,321,2024-12-25,2024-12-29,2024-12-30,Entregado,5.0,4,Atrasado,64.05000000000001
PED-10151,CLI-1014,PROD-102,TR-104,Norte,2529,33.75,563,2025-01-07,2025-01-11,2025-01-12,Entregado,5.0,4,Atrasado,1932.25
PED-10152,CLI-1112,PROD-101,TR-102,Este,134,18.65,38,2024-03-09,2024-03-13,2024-03-14,Entregado,5.0,4,Atrasado,77.35
PED-10153,CLI-1039,PROD-121,TR-104,Centro,192,22.53,36,2025-01-14,2025-01-18,2025-01-17,Entregado,3.0,4,A Tiempo,133.47
PED-10154,CLI-1101,PROD-110,TR-103,Norte,615,21.72,124,2024-09-12,2024-09-17,2024-09-16,Entregado,4.0,5,A Tiempo,469.28
PED-10155,CLI-1099,PROD-129,TR-101,Oeste,130,34.9,17,2024-09-25,2024-09-28,2024-09-29,Entregado,4.0,3,Atrasado,78.1
PED-10156,CLI-1125,PROD-106,TR-101,Centro,867,20.3,1677,2024-05-18,2024-05-21,2024-05-21,Entregado,3.0,3,A Tiempo,-830.3
PED-10157,CLI-1022,PROD-125,TR-103,Norte,2574,16.19,1653,2025-11-14,2025-11-19,2025-11-18,Entregado,4.0,5,A Tiempo,904.81
PED-10158,CLI-1076,PROD-127,TR-102,Norte,162,29.53,31,2025-12-29,2026-01-02,2026-01-03,Entregado,5.0,4,Atrasado,101.47
PED-10159,CLI-1031,PROD-106,TR-102,Norte,1734,23.67,1677,2024-08-30,2024-09-03,2024-09-02,Entregado,3.0,4,A Tiempo,33.32999999999993
PED-10160,CLI-1119,PROD-125,TR-102,Centro,1716,34.99,1102,2025-09-18,2025-09-22,2025-09-21,Entregado,3.0,4,A Tiempo,579.01
PED-10161,CLI-1122,PROD-116,TR-104,Centro,464,34.27,287,2026-02-26,2026-03-02,2026-03-03,Entregado,5.0,4,Atrasado,142.73000000000002
PED-10162,CLI-1115,PROD-114,TR-103,Sur,903,13.32,543,2024-05-11,2024-05-16,,Cancelado,,5,En Tránsito / Pendiente,346.67999999999995
PED-10163,CLI-1110,PROD-116,TR-101,Sur,928,12.79,287,2026-05-01,2026-05-04,2026-05-03,Entregado,2.0,3,A Tiempo,628.21
PED-10164,CLI-1057,PROD-111,TR-103,Norte,2586,15.77,1650,2026-05-16,2026-05-21,2026-05-24,Entregado,8.0,5,Atrasado,920.23
PED-10165,CLI-1136,PROD-102,TR-102,Sur,843,25.05,1689,2025-08-29,2025-09-02,2025-09-01,Entregado,3.0,4,A Tiempo,-871.05
PED-10166,CLI-1086,PROD-126,TR-101,Oeste,852,28.93,1686,2026-04-25,2026-04-28,2026-04-27,Entregado,2.0,3,A Tiempo,-862.93
PED-10167,CLI-1067,PROD-120,TR-102,Este,2517,21.7,541,2026-02-24,2026-02-28,2026-03-01,Entregado,5.0,4,Atrasado,1954.3000000000002
PED-10168,CLI-1074,PROD-120,TR-103,Sur,1678,20.52,1082,2025-05-09,2025-05-14,2025-05-15,Entregado,6.0,5,Atrasado,575.48
PED-10169,CLI-1040,PROD-114,TR-104,Este,903,16.78,181,2025-05-10,2025-05-14,2025-05-14,Entregado,4.0,4,A Tiempo,705.22
