id_cliente,segmento,region,antiguedad_años
CLI-1089,Pequeña Empresa,Este,2
CLI-1090,Consumidor Final,Sur,4
CLI-1091,Pequeña Empresa,Norte,1
CLI-1092,Pequeña Empresa,Oeste,5
CLI-1093,Corporativo,Norte,5
CLI-1094,Corporativo,Oeste,3
CLI-1095,Corporativo,Sur,1
CLI-1096,Corporativo,Sur,3
CLI-1097,Corporativo,Este,5
CLI-1098,Consumidor Final,Sur,5
CLI-1099,Consumidor Final,Oeste,1
CLI-1100,Consumidor Final,Oeste,3
CLI-1101,Consumidor Final,Norte,2
CLI-1102,Pequeña Empresa,Norte,1
CLI-1103,Consumidor Final,Oeste,2
CLI-1104,Pequeña Empresa,Sur,5
CLI-1105,Corporativo,Sur,2
CLI-1106,Consumidor Final,Sur,5
CLI-1107,Pequeña Empresa,Sur,1
CLI-1108,Corporativo,Este,3
CLI-1109,Corporativo,Norte,3
CLI-1110,Corporativo,Sur,2
CLI-1111,Consumidor Final,Este,5
CLI-1112,Consumidor Final,Este,5
CLI-1113,Corporativo,Norte,1
CLI-1114,Consumidor Final,Centro,5
CLI-1115,Corporativo,Sur,5
CLI-1116,Consumidor Final,Centro,4
CLI-1117,Corporativo,Norte,3
CLI-1118,Pequeña Empresa,Norte,3
CLI-1119,Corporativo,Centro,6
CLI-1120,Corporativo,Sur,5
CLI-1121,Pequeña Empresa,Oeste,6
CLI-1122,Corporativo,Centro,2
CLI-1123,Corporativo,Este,1
CLI-1124,Corporativo,Sur,4
CLI-1125,Consumidor Final,Centro,3
CLI-1126,Corporativo,Norte,4
CLI-1127,Corporativo,Este,2
CLI-1128,Corporativo,Este,3
CLI-1129,Pequeña Empresa,Centro,2
CLI-1130,Corporativo,Centro,4
CLI-1131,Pequeña Empresa,Sur,1
CLI-1132,Pequeña Empresa,Sur,6
CLI-1133,Consumidor Final,Este,6
CLI-1134,Consumidor Final,Sur,1
CLI-1135,Corporativo,Sur,2
CLI-1136,Consumidor Final,Sur,1
CLI-1137,Corporativo,Oeste,4
CLI-1138,Pequeña Empresa,Sur,4
CLI-1139,Consumidor Final,Oeste,1
CLI-1140,Pequeña Empresa,Oeste,2
CLI-1141,Pequeña Empresa,Norte,6
CLI-1142,Pequeña Empresa,Norte,5
CLI-1143,Consumidor Final,Centro,3
CLI-1144,Pequeña Empresa,Norte,6
CLI-1145,Pequeña Empresa,Oeste,3
CLI-1146,Consumidor Final,Norte,6
CLI-1147,Pequeña Empresa,Oeste,3
CLI-1148,Consumidor Final,Este,3
CLI-1149,Pequeña Empresa,Sur,5
